Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz database timezone,Type,Source,run_id,load_timestamp,source
Villeneuve-sur-Lot Airport,Villeneuve-sur-lot,France,\N,LFCW,44.39690017700195,0.7588890194892883,190,1,E,Europe/Paris,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Royan-Médis Airport,Royan,France,RYN,LFCY,45.62810134887695,-0.9725000262260436,72,1,E,Europe/Paris,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Mimizan Airport,Mimizan,France,\N,LFCZ,44.145928,-1.16432,164,1,E,Europe/Paris,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Aire-sur-l'Adour Airport,Aire-sur-l'adour,France,\N,LFDA,43.70940017700195,-0.245278000831604,259,1,E,Europe/Paris,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Montauban Airport,Montauban,France,XMW,LFDB,44.02569961547852,1.3780399560928345,351,1,E,Europe/Paris,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Auch-Lamothe Airport,Auch,France,\N,LFDH,43.687801,0.601667,411,1,E,Europe/Paris,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Libourne-Artigues-de-Lussac Airport,Libourne,France,\N,LFDI,44.982498,-0.134722,157,1,E,Europe/Paris,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Pamiers-Les Pujols Airport,Pamiers,France,\N,LFDJ,43.090599060058594,1.69582998752594,1115,1,E,Europe/Paris,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Marmande-Virazeil Airport,Marmande,France,\N,LFDM,44.4989013671875,0.2005140036344528,105,1,E,Europe/Paris,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Rochefort-Saint-Agnant (BA 721) Airport,Rochefort,France,RCO,LFDN,45.88779830932617,-0.9830560088157654,60,1,E,Europe/Paris,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
